Timestamp,Id,PredictedValue,frequency,audioDecibel,frequency_ai,Status,ForecastTime
2026-05-21 10:09:29,PD_SENSOR,1.3,0.0,0.0,42.0,OK,2026-05-21 10:09:29
2026-05-21 10:09:34,PD_SENSOR,1.5,0.0,0.0,16.0,OK,2026-05-21 10:09:34
2026-05-21 10:09:36,PD_SENSOR,1.5,0.0,0.0,5.0,OK,2026-05-21 10:09:36
2026-05-21 10:09:38,PD_SENSOR,1.5,0.0,0.0,-5.0,OK,2026-05-21 10:09:38
2026-05-21 10:09:40,PD_SENSOR,1.5,0.0,0.0,-16.0,OK,2026-05-21 10:09:40
2026-05-21 10:09:42,PD_SENSOR,1.4,0.0,0.0,-26.0,OK,2026-05-21 10:09:42
2026-05-21 10:09:44,PD_SENSOR,46.7,1423.0,45.4,1387.0,OK,2026-05-21 10:09:44
2026-05-21 10:09:46,PD_SENSOR,46.6,1423.0,45.4,1377.0,OK,2026-05-21 10:09:46
2026-05-21 10:09:48,PD_SENSOR,46.5,1423.0,45.4,1369.0,OK,2026-05-21 10:09:48
2026-05-21 10:09:50,PD_SENSOR,46.4,1423.0,45.4,1361.0,OK,2026-05-21 10:09:50
2026-05-21 10:09:52,PD_SENSOR,46.2,1423.0,45.4,1355.0,OK,2026-05-21 10:09:52
2026-05-21 10:09:54,PD_SENSOR,46.0,1423.0,45.4,1350.0,OK,2026-05-21 10:09:54
2026-05-21 10:09:56,PD_SENSOR,45.4,1564.0,45.0,1487.0,OK,2026-05-21 10:09:56
2026-05-21 10:09:58,PD_SENSOR,45.2,1564.0,45.0,1485.0,OK,2026-05-21 10:09:58
2026-05-21 10:10:00,PD_SENSOR,45.0,1564.0,45.0,1484.0,OK,2026-05-21 10:10:00
2026-05-21 10:10:02,PD_SENSOR,44.8,1564.0,45.0,1485.0,OK,2026-05-21 10:10:02
2026-05-21 10:10:04,PD_SENSOR,44.6,1564.0,45.0,1487.0,OK,2026-05-21 10:10:04
2026-05-21 10:10:06,PD_SENSOR,44.4,1564.0,45.0,1490.0,OK,2026-05-21 10:10:06
2026-05-21 10:10:08,PD_SENSOR,44.2,1564.0,45.0,1495.0,OK,2026-05-21 10:10:08
2026-05-21 10:10:10,PD_SENSOR,44.1,1564.0,45.0,1501.0,OK,2026-05-21 10:10:10
2026-05-21 10:10:12,PD_SENSOR,43.9,1564.0,45.0,1508.0,OK,2026-05-21 10:10:12
2026-05-21 10:10:14,PD_SENSOR,43.8,1564.0,45.0,1516.0,OK,2026-05-21 10:10:14
2026-05-21 10:10:16,PD_SENSOR,43.7,1564.0,45.0,1525.0,OK,2026-05-21 10:10:16
2026-05-21 10:10:18,PD_SENSOR,43.6,1564.0,45.0,1535.0,OK,2026-05-21 10:10:18
2026-05-21 10:10:20,PD_SENSOR,43.5,1564.0,45.0,1545.0,OK,2026-05-21 10:10:20
2026-05-21 10:10:22,PD_SENSOR,43.5,1564.0,45.0,1556.0,OK,2026-05-21 10:10:22
2026-05-21 10:10:24,PD_SENSOR,43.5,1564.0,45.0,1567.0,OK,2026-05-21 10:10:24
2026-05-21 10:10:27,PD_SENSOR,43.5,1564.0,45.0,1578.0,OK,2026-05-21 10:10:27
2026-05-21 10:10:29,PD_SENSOR,47.9,2636.0,49.3,2660.0,OK,2026-05-21 10:10:29
2026-05-21 10:10:31,PD_SENSOR,47.9,2636.0,49.3,2670.0,OK,2026-05-21 10:10:31
2026-05-21 10:10:33,PD_SENSOR,48.0,2636.0,49.3,2679.0,OK,2026-05-21 10:10:33
2026-05-21 10:10:35,PD_SENSOR,48.2,2636.0,49.3,2688.0,OK,2026-05-21 10:10:35
2026-05-21 10:10:37,PD_SENSOR,48.3,2636.0,49.3,2696.0,OK,2026-05-21 10:10:37
2026-05-21 10:10:39,PD_SENSOR,41.2,3164.0,42.0,3231.0,OK,2026-05-21 10:10:39
2026-05-21 10:10:41,PD_SENSOR,41.3,3164.0,42.0,3236.0,OK,2026-05-21 10:10:41
2026-05-21 10:10:43,PD_SENSOR,41.5,3164.0,42.0,3240.0,OK,2026-05-21 10:10:43
2026-05-21 10:10:45,PD_SENSOR,41.7,3164.0,42.0,3243.0,OK,2026-05-21 10:10:45
2026-05-21 10:10:47,PD_SENSOR,41.9,3164.0,42.0,3244.0,OK,2026-05-21 10:10:47
2026-05-21 10:10:49,PD_SENSOR,42.1,3164.0,42.0,3244.0,OK,2026-05-21 10:10:49
2026-05-21 10:10:51,PD_SENSOR,44.1,1125.0,43.8,1203.0,OK,2026-05-21 10:10:51
2026-05-21 10:10:53,PD_SENSOR,44.3,1125.0,43.8,1200.0,OK,2026-05-21 10:10:53
