Timestamp,Id,PredictedValue,frequency,audioDecibel,frequency_ai,Status,ForecastTime
2026-05-28 16:19:31,4f7fb8c5-75ad-49f5-9b25-529e7fb2a2b2,26.9,0.0,28.0973,51.0,OK,2026-05-28 16:19:31
2026-05-28 16:19:33,4f7fb8c5-75ad-49f5-9b25-529e7fb2a2b2,49.6,1248.0,50.5726,1307.0,OK,2026-05-28 16:19:33
2026-05-28 16:19:35,4f7fb8c5-75ad-49f5-9b25-529e7fb2a2b2,39.5,773.0,40.3648,838.0,OK,2026-05-28 16:19:35
2026-05-28 16:19:37,4f7fb8c5-75ad-49f5-9b25-529e7fb2a2b2,37.7,1037.0,38.4214,1108.0,OK,2026-05-28 16:19:37
2026-05-28 16:19:41,4f7fb8c5-75ad-49f5-9b25-529e7fb2a2b2,33.3,24205.0,33.6453,24283.0,OK,2026-05-28 16:19:41
2026-05-28 16:19:43,4f7fb8c5-75ad-49f5-9b25-529e7fb2a2b2,39.9,28529.0,40.0072,28609.0,OK,2026-05-28 16:19:43
2026-05-28 16:19:47,4f7fb8c5-75ad-49f5-9b25-529e7fb2a2b2,37.9,24205.0,37.5748,24284.0,OK,2026-05-28 16:19:47
2026-05-28 16:19:49,4f7fb8c5-75ad-49f5-9b25-529e7fb2a2b2,29.1,1089.0,28.5891,1164.0,OK,2026-05-28 16:19:49
2026-05-28 16:19:53,4f7fb8c5-75ad-49f5-9b25-529e7fb2a2b2,43.8,1177.0,43.0085,1244.0,OK,2026-05-28 16:19:53
2026-05-28 16:19:55,4f7fb8c5-75ad-49f5-9b25-529e7fb2a2b2,37.3,24205.0,36.252,24263.0,OK,2026-05-28 16:19:55
2026-05-28 16:19:57,4f7fb8c5-75ad-49f5-9b25-529e7fb2a2b2,31.5,24205.0,30.3141,24255.0,OK,2026-05-28 16:19:57
2026-05-28 16:20:01,4f7fb8c5-75ad-49f5-9b25-529e7fb2a2b2,30.3,24205.0,28.9626,24240.0,OK,2026-05-28 16:20:01
2026-05-28 16:20:03,4f7fb8c5-75ad-49f5-9b25-529e7fb2a2b2,29.9,24205.0,28.4849,24230.0,OK,2026-05-28 16:20:03
2026-05-28 16:20:05,4f7fb8c5-75ad-49f5-9b25-529e7fb2a2b2,29.7,24205.0,28.2383,24217.0,OK,2026-05-28 16:20:05
